"Label (Grouping)","New York city, New York!!Households!!Estimate","New York city, New York!!Households!!Margin of Error","New York city, New York!!Families!!Estimate","New York city, New York!!Families!!Margin of Error","New York city, New York!!Married-couple families!!Estimate","New York city, New York!!Married-couple families!!Margin of Error","New York city, New York!!Nonfamily households!!Estimate","New York city, New York!!Nonfamily households!!Margin of Error"
"Total","3,373,039","±12,815","1,917,514","±15,673","1,175,427","±17,132","1,455,525","±18,231"
"    Less than $10,000","8.7%","±0.3","5.9%","±0.4","2.4%","±0.3","13.1%","±0.6"
"    $10,000 to $14,999","5.2%","±0.2","3.0%","±0.3","1.7%","±0.2","8.4%","±0.5"
"    $15,000 to $24,999","7.1%","±0.3","6.2%","±0.4","4.6%","±0.4","8.9%","±0.5"
"    $25,000 to $34,999","6.6%","±0.3","6.6%","±0.4","5.1%","±0.4","6.9%","±0.4"
"    $35,000 to $49,999","8.9%","±0.3","9.1%","±0.4","7.3%","±0.5","9.0%","±0.5"
"    $50,000 to $74,999","13.7%","±0.4","14.1%","±0.5","12.2%","±0.6","13.3%","±0.6"
"    $75,000 to $99,999","10.9%","±0.4","11.5%","±0.5","11.0%","±0.6","10.2%","±0.6"
"    $100,000 to $149,999","14.9%","±0.4","15.9%","±0.5","17.7%","±0.6","12.7%","±0.6"
"    $150,000 to $199,999","8.7%","±0.3","9.9%","±0.5","12.6%","±0.6","6.5%","±0.4"
"    $200,000 or more","15.3%","±0.4","17.8%","±0.5","25.2%","±0.8","11.0%","±0.6"
"Median income (dollars)","74,694","±1,255","85,338","±1,795","113,371","±2,291","55,810","±1,856"
"Mean income (dollars)","120,216","±1,843","138,054","±2,643","176,384","±4,294","91,196","±2,290"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","48.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","53.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","39.1%","(X)"
